"","State","Natural gas (Trillion Btu)","Distillate fuel - diesel (Trillion Btu)","Jet fuel (Trillion Btu)","Motor gasoline (Trillion Btu)","Residual fuel (Trillion Btu)","Other (Trillion Btu)","Total petroleum (Trillion Btu)","Ethanol (Trillion Btu)","Electricity (Trillion Btu)","Net energy (Trillion Btu)","Electrical system energy losses (Trillion Btu)","Total (Trillion Btu)","code","total","hover"
"24","Minnesota",12.1,103.3,33.1,294.2,0.5,4.9,435.9,24.6,0.1,448.1,0.1,448.2,"MN",448.2,"Minnesota <br> Natural Gas: 12.1 Petroleum:  435.9 <br> Ethanol:  24.6 Electricity 0.1 <br>"
"25","Mississippi",25.5,88.5,56.6,191.3,4.3,1.9,342.6,13.5,0,368.1,0,368.1,"MS",368.1,"Mississippi <br> Natural Gas: 25.5 Petroleum:  342.6 <br> Ethanol:  13.5 Electricity 0 <br>"
"26","Missouri",5.8,145.7,18.6,365.4,0,6.6,536.3,21.2,0.1,542.2,0.2,542.3,"MO",542.3,"Missouri <br> Natural Gas: 5.8 Petroleum:  536.3 <br> Ethanol:  21.2 Electricity 0.1 <br>"
"27","Montana",7,44.8,5,60.1,0,1.2,111.1,3.5,0,118.1,0,118.1,"MT",118.1,"Montana <br> Natural Gas: 7 Petroleum:  111.1 <br> Ethanol:  3.5 Electricity 0 <br>"
"28","Nebraska",7.2,79.6,6.1,99.9,0,2.3,187.9,5.4,0,195.1,0,195.1,"NE",195.1,"Nebraska <br> Natural Gas: 7.2 Petroleum:  187.9 <br> Ethanol:  5.4 Electricity 0 <br>"
"29","Nevada",5.8,43,26.9,130.9,0,1,201.7,7.3,0,207.6,0,207.6,"NV",207.6,"Nevada <br> Natural Gas: 5.8 Petroleum:  201.7 <br> Ethanol:  7.3 Electricity 0 <br>"
"30","New Hampshire",0.1,12.9,1.9,83.9,0,0.5,99.3,5.8,0,99.4,0,99.4,"NH",99.4,"New Hampshire <br> Natural Gas: 0.1 Petroleum:  99.3 <br> Ethanol:  5.8 Electricity 0 <br>"
"31","New Jersey",7.1,119.1,204.6,473.9,34.8,4.4,836.8,33.4,1,845,2.1,847.1,"NJ",847.1,"New Jersey <br> Natural Gas: 7.1 Petroleum:  836.8 <br> Ethanol:  33.4 Electricity 1 <br>"
"32","New Mexico",9.3,72.7,6.2,111.6,0,1.6,192.1,7.1,0,201.5,0,201.5,"NM",201.5,"New Mexico <br> Natural Gas: 9.3 Petroleum:  192.1 <br> Ethanol:  7.1 Electricity 0 <br>"
"33","New York",27.3,152.4,154.8,635.1,39.6,6.2,988.1,43.5,9.8,1025.1,17.6,1042.8,"NY",1042.8,"New York <br> Natural Gas: 27.3 Petroleum:  988.1 <br> Ethanol:  43.5 Electricity 9.8 <br>"
"34","North Carolina",4.2,142.8,57.4,511,0,5,716.3,33.6,0,720.5,0.1,720.5,"NC",720.5,"North Carolina <br> Natural Gas: 4.2 Petroleum:  716.3 <br> Ethanol:  33.6 Electricity 0 <br>"
"35","North Dakota",17.4,61.8,6.6,52.8,0,1.1,122.2,3.7,0,139.6,0,139.6,"ND",139.6,"North Dakota <br> Natural Gas: 17.4 Petroleum:  122.2 <br> Ethanol:  3.7 Electricity 0 <br>"
"36","Ohio",11.1,236.5,75.2,588.2,0,9,908.7,41.5,0.2,920,0.3,920.3,"OH",920.3,"Ohio <br> Natural Gas: 11.1 Petroleum:  908.7 <br> Ethanol:  41.5 Electricity 0.2 <br>"
"37","Oklahoma",44.5,140.5,44,220.2,0,4.8,409.4,11.9,0,453.9,0,453.9,"OK",453.9,"Oklahoma <br> Natural Gas: 44.5 Petroleum:  409.4 <br> Ethanol:  11.9 Electricity 0 <br>"
"38","Oregon",4.3,89.9,25.9,173.4,3.8,3.7,296.8,9.7,0.1,301.2,0.1,301.3,"OR",301.3,"Oregon <br> Natural Gas: 4.3 Petroleum:  296.8 <br> Ethanol:  9.7 Electricity 0.1 <br>"
"39","Pennsylvania",43,215.9,41.5,592.8,6.3,8,864.7,40,2.8,910.4,5.6,916,"PA",916,"Pennsylvania <br> Natural Gas: 43 Petroleum:  864.7 <br> Ethanol:  40 Electricity 2.8 <br>"
"40","Rhode Island",1.5,8.9,3.9,43.2,0,0.4,56.5,3,0.1,58.1,0.1,58.3,"RI",58.3,"Rhode Island <br> Natural Gas: 1.5 Petroleum:  56.5 <br> Ethanol:  3 Electricity 0.1 <br>"
"41","South Carolina",2.6,107.4,11.6,319.5,9.7,2,450.3,21,0,452.9,0,452.9,"SC",452.9,"South Carolina <br> Natural Gas: 2.6 Petroleum:  450.3 <br> Ethanol:  21 Electricity 0 <br>"
"42","South Dakota",7.1,31.5,3.8,51.8,0,1.2,88.3,3.6,0,95.4,0,95.4,"SD",95.4,"South Dakota <br> Natural Gas: 7.1 Petroleum:  88.3 <br> Ethanol:  3.6 Electricity 0 <br>"
"43","Tennessee",8.2,144.3,63.6,375,0.3,4.8,588,26.4,0,596.2,0,596.2,"TN",596.2,"Tennessee <br> Natural Gas: 8.2 Petroleum:  588 <br> Ethanol:  26.4 Electricity 0 <br>"
"44","Texas",304.9,749.2,386.7,1498.4,118.3,15.4,2767.9,93.6,0.2,3073.1,0.4,3073.5,"TX",3073.5,"Texas <br> Natural Gas: 304.9 Petroleum:  2767.9 <br> Ethanol:  93.6 Electricity 0.2 <br>"
"45","Utah",14.5,68.1,36.3,129,0,1.4,234.9,7.5,0.2,249.6,0.4,250,"UT",250,"Utah <br> Natural Gas: 14.5 Petroleum:  234.9 <br> Ethanol:  7.5 Electricity 0.2 <br>"
"46","Vermont",0.1,9.8,1.3,37.7,0,0.3,49.1,2.5,0,49.2,0,49.2,"VT",49.2,"Vermont <br> Natural Gas: 0.1 Petroleum:  49.1 <br> Ethanol:  2.5 Electricity 0 <br>"
"47","Virginia",9.1,148.6,100.1,465.9,4.1,3.4,722.2,31.9,0.7,732,1.4,733.4,"VA",733.4,"Virginia <br> Natural Gas: 9.1 Petroleum:  722.2 <br> Ethanol:  31.9 Electricity 0.7 <br>"
"48","Washington",11.1,106.6,89.7,321,60.2,4.4,581.8,17.9,0,592.9,0,593,"WA",593,"Washington <br> Natural Gas: 11.1 Petroleum:  581.8 <br> Ethanol:  17.9 Electricity 0 <br>"
"49","West Virginia",31.9,41.3,1.2,94.3,0,1.5,138.3,6.2,0,170.1,0,170.2,"WV",170.2,"West Virginia <br> Natural Gas: 31.9 Petroleum:  138.3 <br> Ethanol:  6.2 Electricity 0 <br>"
"50","Wisconsin",3,105.4,8.9,290.5,0,4.5,409.2,20.3,0,412.2,0,412.2,"WI",412.2,"Wisconsin <br> Natural Gas: 3 Petroleum:  409.2 <br> Ethanol:  20.3 Electricity 0 <br>"
"51","Wyoming",16,53.8,2.3,41,0,0.8,98,2.4,0,114,0,114,"WY",114,"Wyoming <br> Natural Gas: 16 Petroleum:  98 <br> Ethanol:  2.4 Electricity 0 <br>"
